Row Labels,Total_Loans_Given,Loan_Defaulted,loan_amount_to_defaulters,Average_income_all_borrowers,Sum of total_pymnt,Sum of total_rec_prncp,Sum of recoveries
01-06-2007,24,3,10375,56840,10877,4095,5799
01-07-2007,63,7,56725,66325,21953,14839,1102
01-08-2007,74,20,188325,75677,107338,77107,2361
01-09-2007,53,13,92450,58815,45623,32272,1779
01-10-2007,105,34,261325,55411,109925,71809,10761
01-11-2007,112,34,344450,66998,,110891,15436
01-12-2007,172,47,598575,66854,344193,213207,53942
01-01-2008,305,84,901475,62271,433369,287503,45207
01-02-2008,306,61,742425,62296,389268,270926,22424
01-03-2008,,89,1081400,69678,556033,382399,43327
01-04-2008,259,63,591975,66782,242891,155537,30731
01-05-2008,115,25,142300,59691,88882,59998,11183
01-06-2008,124,22,118325,59344,46837,34596,1713
01-07-2008,141,30,221025,,113611,76112,11224
01-08-2008,100,12,81825,58570,34764,19332,7610
01-09-2008,57,10,56500,69392,25023,16517,2461
01-10-2008,122,21,191100,73865,98998,67332,7939
01-11-2008,209,39,440500,66535,168323,118783,5178
01-12-2008,253,40,415600,71456,,128540,31549
01-01-2009,269,41,405525,68502,204038,142645,13966
01-02-2009,302,41,401525,62387,222867,127434,40254
01-03-2009,324,41,411875,61432,218226,151364,14710
01-04-2009,333,49,506675,64076,255564,133664,64605
01-05-2009,359,51,510950,65473,255906,172990,23944
01-06-2009,406,58,581600,67250,310947,211446,26120
01-07-2009,411,58,593900,69049,306239,202591,23362
01-08-2009,446,50,589800,,314511,212861,19971
01-09-2009,507,66,710350,69619,375405,251808,26481
01-10-2009,604,100,1232400,71639,669754,438396,70768
01-11-2009,662,97,999625,74391,449678,275966,65682
01-12-2009,658,71,683850,76113,441049,282081,58283
01-01-2010,662,92,1045575,71354,616252,362843,113474
01-02-2010,682,75,817175,71596,487402,337482,34839
01-03-2010,828,87,895600,69906,,338231,52098
01-04-2010,912,101,1030050,70515,564670,375138,61591
01-05-2010,989,144,1627425,72801,821260,514972,67120
01-06-2010,,196,1896125,69555,1044768,595779,106197
01-07-2010,1204,159,1542625,65162,872208,509213,66571
01-08-2010,1175,172,1858925,66138,1127845,637545,109791
01-09-2010,1189,207,2167250,,1365928,815497,103036
01-10-2010,1232,190,2030550,70132,1195180,723132,97085
01-11-2010,1224,175,1996525,70263,1041647,589454,122370
01-12-2010,1335,163,1761325,69852,971792,594711,83333
01-01-2011,1380,197,2226225,69931,1560214,997473,91454
01-02-2011,1298,170,2067975,67672,1233606,678939,114664
01-03-2011,1448,213,2707200,67840,1674256,947955,
01-04-2011,1563,222,2867350,66016,1621437,920755,142568
01-05-2011,1704,291,3422300,68000,1791821,973992,181152
01-06-2011,1835,272,3411500,70623,,1132184,178092
01-07-2011,1875,279,3607025,69666,1902596,1085966,156989
01-08-2011,1934,271,3247600,70495,1901532,1082191,161234
